date,month#,DofM,year,month,mmm-yy,week,quarter,day
1/1/2017,1,1,2017,Jan,Jan-17,1,Q1,Sun
1/2/2017,1,2,2017,Jan,Jan-17,1,Q1,Mon
1/3/2017,1,3,2017,Jan,Jan-17,1,Q1,Tue
1/4/2017,1,4,2017,Jan,Jan-17,1,Q1,Wed
1/5/2017,1,5,2017,Jan,Jan-17,1,Q1,Thu
1/6/2017,1,6,2017,Jan,Jan-17,1,Q1,Fri
1/7/2017,1,7,2017,Jan,Jan-17,1,Q1,Sat
1/8/2017,1,8,2017,Jan,Jan-17,2,Q1,Sun
1/9/2017,1,9,2017,Jan,Jan-17,2,Q1,Mon
1/10/2017,1,10,2017,Jan,Jan-17,2,Q1,Tue
1/11/2017,1,11,2017,Jan,Jan-17,2,Q1,Wed
1/12/2017,1,12,2017,Jan,Jan-17,2,Q1,Thu
1/13/2017,1,13,2017,Jan,Jan-17,2,Q1,Fri
1/14/2017,1,14,2017,Jan,Jan-17,2,Q1,Sat
1/15/2017,1,15,2017,Jan,Jan-17,3,Q1,Sun
1/16/2017,1,16,2017,Jan,Jan-17,3,Q1,Mon
1/17/2017,1,17,2017,Jan,Jan-17,3,Q1,Tue
1/18/2017,1,18,2017,Jan,Jan-17,3,Q1,Wed
1/19/2017,1,19,2017,Jan,Jan-17,3,Q1,Thu
1/20/2017,1,20,2017,Jan,Jan-17,3,Q1,Fri
1/21/2017,1,21,2017,Jan,Jan-17,3,Q1,Sat
1/22/2017,1,22,2017,Jan,Jan-17,4,Q1,Sun
1/23/2017,1,23,2017,Jan,Jan-17,4,Q1,Mon
1/24/2017,1,24,2017,Jan,Jan-17,4,Q1,Tue
1/25/2017,1,25,2017,Jan,Jan-17,4,Q1,Wed
1/26/2017,1,26,2017,Jan,Jan-17,4,Q1,Thu
1/27/2017,1,27,2017,Jan,Jan-17,4,Q1,Fri
1/28/2017,1,28,2017,Jan,Jan-17,4,Q1,Sat
1/29/2017,1,29,2017,Jan,Jan-17,5,Q1,Sun
1/30/2017,1,30,2017,Jan,Jan-17,5,Q1,Mon
1/31/2017,1,31,2017,Jan,Jan-17,5,Q1,Tue
2/1/2017,2,1,2017,Feb,Feb-17,5,Q1,Wed
2/2/2017,2,2,2017,Feb,Feb-17,5,Q1,Thu
2/3/2017,2,3,2017,Feb,Feb-17,5,Q1,Fri
2/4/2017,2,4,2017,Feb,Feb-17,5,Q1,Sat
2/5/2017,2,5,2017,Feb,Feb-17,6,Q1,Sun
2/6/2017,2,6,2017,Feb,Feb-17,6,Q1,Mon
2/7/2017,2,7,2017,Feb,Feb-17,6,Q1,Tue
2/8/2017,2,8,2017,Feb,Feb-17,6,Q1,Wed
2/9/2017,2,9,2017,Feb,Feb-17,6,Q1,Thu
2/10/2017,2,10,2017,Feb,Feb-17,6,Q1,Fri
2/11/2017,2,11,2017,Feb,Feb-17,6,Q1,Sat
2/12/2017,2,12,2017,Feb,Feb-17,7,Q1,Sun
2/13/2017,2,13,2017,Feb,Feb-17,7,Q1,Mon
2/14/2017,2,14,2017,Feb,Feb-17,7,Q1,Tue
2/15/2017,2,15,2017,Feb,Feb-17,7,Q1,Wed
2/16/2017,2,16,2017,Feb,Feb-17,7,Q1,Thu
2/17/2017,2,17,2017,Feb,Feb-17,7,Q1,Fri
2/18/2017,2,18,2017,Feb,Feb-17,7,Q1,Sat
2/19/2017,2,19,2017,Feb,Feb-17,8,Q1,Sun
2/20/2017,2,20,2017,Feb,Feb-17,8,Q1,Mon
2/21/2017,2,21,2017,Feb,Feb-17,8,Q1,Tue
2/22/2017,2,22,2017,Feb,Feb-17,8,Q1,Wed
2/23/2017,2,23,2017,Feb,Feb-17,8,Q1,Thu
2/24/2017,2,24,2017,Feb,Feb-17,8,Q1,Fri
2/25/2017,2,25,2017,Feb,Feb-17,8,Q1,Sat
2/26/2017,2,26,2017,Feb,Feb-17,9,Q1,Sun
2/27/2017,2,27,2017,Feb,Feb-17,9,Q1,Mon
2/28/2017,2,28,2017,Feb,Feb-17,9,Q1,Tue
3/1/2017,3,1,2017,Mar,Mar-17,9,Q1,Wed
3/2/2017,3,2,2017,Mar,Mar-17,9,Q1,Thu
3/3/2017,3,3,2017,Mar,Mar-17,9,Q1,Fri
3/4/2017,3,4,2017,Mar,Mar-17,9,Q1,Sat
3/5/2017,3,5,2017,Mar,Mar-17,10,Q1,Sun
3/6/2017,3,6,2017,Mar,Mar-17,10,Q1,Mon
3/7/2017,3,7,2017,Mar,Mar-17,10,Q1,Tue
3/8/2017,3,8,2017,Mar,Mar-17,10,Q1,Wed
