id,external_id,name,latitude,longitude
1,3273,Manila & 1st,40.721651,-74.042884
2,3197,Hs Don't Use,40.719252,-74.034234
3,3277,Communipaw & Berry Lane,40.714358,-74.066611
4,337,Old Slip & Front St,40.703799,-74.008387
5,401,Allen St & Rivington St,40.720196,-73.989978
6,303,Mercer St & Spring St,40.723627,-73.999496
7,3281,Leonard Gordon Park,40.745910,-74.057271
8,520,W 52 St & 5 Ave,40.759923,-73.976485
9,79,Franklin St & W Broadway,40.719116,-74.006667
10,398,Atlantic Ave & Furman St,40.691652,-73.999979
11,513,W 56 St & 10 Ave,40.768254,-73.988639
12,2008,Little West St & 1 Pl,40.705693,-74.016777
13,3275,Columbus Drive,40.718355,-74.038914
14,327,Vesey Pl & River Terrace,40.715338,-74.016584
15,477,W 41 St & 8 Ave,40.756405,-73.990026
16,3331,Riverside Dr & W 104 St,40.801343,-73.971146
17,432,E 7 St & Avenue A,40.726218,-73.983799
18,267,Broadway & W 36 St,40.750977,-73.987654
19,3474,6 Ave & Spring St,40.725256,-74.004121
20,3311,Columbia St & Kane St,40.687632,-74.001626
21,3173,Riverside Blvd & W 67 St,40.777507,-73.988886
22,3198,Heights Elevator,40.748716,-74.040443
23,217,Old Fulton St,40.702772,-73.993836
24,457,Broadway & W 58 St,40.766953,-73.981693
25,3193,Lincoln Park,40.724605,-74.078406
26,3792,Columbus Dr at Exchange Pl,40.716870,-74.032810
27,3195,Sip Ave,40.730743,-74.063784
28,501,FDR Drive & E 35 St,40.744219,-73.971212
29,3443,W 52 St & 6 Ave,40.761330,-73.979820
30,253,W 13 St & 5 Ave,40.735439,-73.994539
31,161,LaGuardia Pl & W 3 St,40.729170,-73.998102
32,3186,Grove St PATH,40.719586,-74.043117
33,3188,NJCU,40.710109,-74.085849
34,3256,Pier 40 - Hudson River Park,40.727714,-74.011296
35,195,Liberty St & Broadway,40.709056,-74.010434
36,3268,Lafayette Park,40.713464,-74.062859
37,259,South St & Whitehall St,40.701221,-74.012342
38,3436,Greenwich St & Hubert St,40.721319,-74.010065
39,3539,W 116 St & Amsterdam Ave,40.806758,-73.960708
40,319,Fulton St & Broadway,40.711066,-74.009447
41,482,W 15 St & 7 Ave,40.739355,-73.999318
42,3217,Bayside Park,40.698651,-74.082080
43,311,Norfolk St & Broome St,40.717227,-73.988021
44,3002,South End Ave & Liberty St,40.711512,-74.015756
45,3206,Hilltop,40.731169,-74.057574
46,508,W 46 St & 11 Ave,40.763414,-73.996674
47,3212,Christ Hospital,40.734786,-74.050444
48,212,W 16 St & The High Line,40.743349,-74.006818
49,152,Warren St & Church St,40.714740,-74.009106
50,3679,Bergen Ave,40.722104,-74.071455
51,3199,Newport Pkwy,40.728745,-74.032108
52,3214,Essex Light Rail,40.712774,-74.036486
53,3383,Cathedral Pkwy & Broadway,40.804213,-73.966991
54,487,E 20 St & FDR Drive,40.733143,-73.975739
55,3461,Murray St & Greenwich St,40.714852,-74.011223
56,3278,Monmouth and 6th,40.725685,-74.048790
57,3207,Oakland Ave,40.737604,-74.052478
58,3541,Amsterdam Ave & W 125 St,40.813358,-73.956461
59,3356,Amsterdam Ave & W 66 St,40.774667,-73.984706
60,3360,Amsterdam Ave & W 79 St,40.782939,-73.978652
61,127,Barrow St & Hudson St,40.731724,-74.006744
62,3165,Central Park West & W 72 St,40.775794,-73.976206
63,3639,Harborside,40.719252,-74.034234
64,3215,Central Ave,40.746730,-74.049251
65,3681,Grand St,40.715178,-74.037683
66,276,Duane St & Greenwich St,40.717488,-74.010455
67,3211,Newark Ave,40.721525,-74.046305
68,422,W 59 St & 10 Ave,40.770513,-73.988038
69,3192,Liberty Light Rail,40.711242,-74.055701
70,3215,JSQ Don't Use,,
71,3400,E 110 St & Madison Ave,40.796154,-73.947821
72,345,W 13 St & 6 Ave,40.736494,-73.997044
73,3638,Washington St,40.724294,-74.035483
74,264,Maiden Ln & Pearl St,40.707065,-74.007319
75,379,W 31 St & 7 Ave,40.749156,-73.991600
