date,month#,DofM,day,week,month,mmm-yy,quarter,year
1/1/2017,1,1,Sun,1,Jan,17-Jan,Q1,2017
1/2/2017,1,2,Mon,1,Jan,17-Jan,Q1,2017
1/3/2017,1,3,Tue,1,Jan,17-Jan,Q1,2017
1/4/2017,1,4,Wed,1,Jan,17-Jan,Q1,2017
1/5/2017,1,5,Thu,1,Jan,17-Jan,Q1,2017
1/6/2017,1,6,Fri,1,Jan,17-Jan,Q1,2017
1/7/2017,1,7,Sat,1,Jan,17-Jan,Q1,2017
1/8/2017,1,8,Sun,2,Jan,17-Jan,Q1,2017
1/9/2017,1,9,Mon,2,Jan,17-Jan,Q1,2017
1/10/2017,1,10,Tue,2,Jan,17-Jan,Q1,2017
1/11/2017,1,11,Wed,2,Jan,17-Jan,Q1,2017
1/12/2017,1,12,Thu,2,Jan,17-Jan,Q1,2017
1/13/2017,1,13,Fri,2,Jan,17-Jan,Q1,2017
1/14/2017,1,14,Sat,2,Jan,17-Jan,Q1,2017
1/15/2017,1,15,Sun,3,Jan,17-Jan,Q1,2017
1/16/2017,1,16,Mon,3,Jan,17-Jan,Q1,2017
1/17/2017,1,17,Tue,3,Jan,17-Jan,Q1,2017
1/18/2017,1,18,Wed,3,Jan,17-Jan,Q1,2017
1/19/2017,1,19,Thu,3,Jan,17-Jan,Q1,2017
1/20/2017,1,20,Fri,3,Jan,17-Jan,Q1,2017
1/21/2017,1,21,Sat,3,Jan,17-Jan,Q1,2017
1/22/2017,1,22,Sun,4,Jan,17-Jan,Q1,2017
1/23/2017,1,23,Mon,4,Jan,17-Jan,Q1,2017
1/24/2017,1,24,Tue,4,Jan,17-Jan,Q1,2017
1/25/2017,1,25,Wed,4,Jan,17-Jan,Q1,2017
1/26/2017,1,26,Thu,4,Jan,17-Jan,Q1,2017
1/27/2017,1,27,Fri,4,Jan,17-Jan,Q1,2017
1/28/2017,1,28,Sat,4,Jan,17-Jan,Q1,2017
1/29/2017,1,29,Sun,5,Jan,17-Jan,Q1,2017
1/30/2017,1,30,Mon,5,Jan,17-Jan,Q1,2017
1/31/2017,1,31,Tue,5,Jan,17-Jan,Q1,2017
2/1/2017,2,1,Wed,5,Feb,17-Feb,Q1,2017
2/2/2017,2,2,Thu,5,Feb,17-Feb,Q1,2017
2/3/2017,2,3,Fri,5,Feb,17-Feb,Q1,2017
2/4/2017,2,4,Sat,5,Feb,17-Feb,Q1,2017
2/5/2017,2,5,Sun,6,Feb,17-Feb,Q1,2017
2/6/2017,2,6,Mon,6,Feb,17-Feb,Q1,2017
2/7/2017,2,7,Tue,6,Feb,17-Feb,Q1,2017
2/8/2017,2,8,Wed,6,Feb,17-Feb,Q1,2017
2/9/2017,2,9,Thu,6,Feb,17-Feb,Q1,2017
2/10/2017,2,10,Fri,6,Feb,17-Feb,Q1,2017
2/11/2017,2,11,Sat,6,Feb,17-Feb,Q1,2017
2/12/2017,2,12,Sun,7,Feb,17-Feb,Q1,2017
2/13/2017,2,13,Mon,7,Feb,17-Feb,Q1,2017
2/14/2017,2,14,Tue,7,Feb,17-Feb,Q1,2017
2/15/2017,2,15,Wed,7,Feb,17-Feb,Q1,2017
2/16/2017,2,16,Thu,7,Feb,17-Feb,Q1,2017
2/17/2017,2,17,Fri,7,Feb,17-Feb,Q1,2017
2/18/2017,2,18,Sat,7,Feb,17-Feb,Q1,2017
2/19/2017,2,19,Sun,8,Feb,17-Feb,Q1,2017
2/20/2017,2,20,Mon,8,Feb,17-Feb,Q1,2017
2/21/2017,2,21,Tue,8,Feb,17-Feb,Q1,2017
2/22/2017,2,22,Wed,8,Feb,17-Feb,Q1,2017
2/23/2017,2,23,Thu,8,Feb,17-Feb,Q1,2017
2/24/2017,2,24,Fri,8,Feb,17-Feb,Q1,2017
2/25/2017,2,25,Sat,8,Feb,17-Feb,Q1,2017
2/26/2017,2,26,Sun,9,Feb,17-Feb,Q1,2017
2/27/2017,2,27,Mon,9,Feb,17-Feb,Q1,2017
2/28/2017,2,28,Tue,9,Feb,17-Feb,Q1,2017
3/1/2017,3,1,Wed,9,Mar,17-Mar,Q1,2017
3/2/2017,3,2,Thu,9,Mar,17-Mar,Q1,2017
3/3/2017,3,3,Fri,9,Mar,17-Mar,Q1,2017
3/4/2017,3,4,Sat,9,Mar,17-Mar,Q1,2017
3/5/2017,3,5,Sun,10,Mar,17-Mar,Q1,2017
3/6/2017,3,6,Mon,10,Mar,17-Mar,Q1,2017
3/7/2017,3,7,Tue,10,Mar,17-Mar,Q1,2017
3/8/2017,3,8,Wed,10,Mar,17-Mar,Q1,2017
3/9/2017,3,9,Thu,10,Mar,17-Mar,Q1,2017
3/10/2017,3,10,Fri,10,Mar,17-Mar,Q1,2017
3/11/2017,3,11,Sat,10,Mar,17-Mar,Q1,2017
3/12/2017,3,12,Sun,11,Mar,17-Mar,Q1,2017
3/13/2017,3,13,Mon,11,Mar,17-Mar,Q1,2017
3/14/2017,3,14,Tue,11,Mar,17-Mar,Q1,2017
3/15/2017,3,15,Wed,11,Mar,17-Mar,Q1,2017
3/16/2017,3,16,Thu,11,Mar,17-Mar,Q1,2017
3/17/2017,3,17,Fri,11,Mar,17-Mar,Q1,2017
3/18/2017,3,18,Sat,11,Mar,17-Mar,Q1,2017
3/19/2017,3,19,Sun,12,Mar,17-Mar,Q1,2017
3/20/2017,3,20,Mon,12,Mar,17-Mar,Q1,2017
3/21/2017,3,21,Tue,12,Mar,17-Mar,Q1,2017
3/22/2017,3,22,Wed,12,Mar,17-Mar,Q1,2017
3/23/2017,3,23,Thu,12,Mar,17-Mar,Q1,2017
3/24/2017,3,24,Fri,12,Mar,17-Mar,Q1,2017
3/25/2017,3,25,Sat,12,Mar,17-Mar,Q1,2017
3/26/2017,3,26,Sun,13,Mar,17-Mar,Q1,2017
3/27/2017,3,27,Mon,13,Mar,17-Mar,Q1,2017
3/28/2017,3,28,Tue,13,Mar,17-Mar,Q1,2017
3/29/2017,3,29,Wed,13,Mar,17-Mar,Q1,2017
3/30/2017,3,30,Thu,13,Mar,17-Mar,Q1,2017
3/31/2017,3,31,Fri,13,Mar,17-Mar,Q1,2017
4/1/2017,4,1,Sat,13,Apr,17-Apr,Q2,2017
4/2/2017,4,2,Sun,14,Apr,17-Apr,Q2,2017
4/3/2017,4,3,Mon,14,Apr,17-Apr,Q2,2017
4/4/2017,4,4,Tue,14,Apr,17-Apr,Q2,2017
4/5/2017,4,5,Wed,14,Apr,17-Apr,Q2,2017
4/6/2017,4,6,Thu,14,Apr,17-Apr,Q2,2017
4/7/2017,4,7,Fri,14,Apr,17-Apr,Q2,2017
4/8/2017,4,8,Sat,14,Apr,17-Apr,Q2,2017
4/9/2017,4,9,Sun,15,Apr,17-Apr,Q2,2017
4/10/2017,4,10,Mon,15,Apr,17-Apr,Q2,2017
4/11/2017,4,11,Tue,15,Apr,17-Apr,Q2,2017
4/12/2017,4,12,Wed,15,Apr,17-Apr,Q2,2017
4/13/2017,4,13,Thu,15,Apr,17-Apr,Q2,2017
4/14/2017,4,14,Fri,15,Apr,17-Apr,Q2,2017
4/15/2017,4,15,Sat,15,Apr,17-Apr,Q2,2017
4/16/2017,4,16,Sun,16,Apr,17-Apr,Q2,2017
4/17/2017,4,17,Mon,16,Apr,17-Apr,Q2,2017
4/18/2017,4,18,Tue,16,Apr,17-Apr,Q2,2017
4/19/2017,4,19,Wed,16,Apr,17-Apr,Q2,2017
4/20/2017,4,20,Thu,16,Apr,17-Apr,Q2,2017
4/21/2017,4,21,Fri,16,Apr,17-Apr,Q2,2017
4/22/2017,4,22,Sat,16,Apr,17-Apr,Q2,2017
4/23/2017,4,23,Sun,17,Apr,17-Apr,Q2,2017
4/24/2017,4,24,Mon,17,Apr,17-Apr,Q2,2017
4/25/2017,4,25,Tue,17,Apr,17-Apr,Q2,2017
4/26/2017,4,26,Wed,17,Apr,17-Apr,Q2,2017
4/27/2017,4,27,Thu,17,Apr,17-Apr,Q2,2017
4/28/2017,4,28,Fri,17,Apr,17-Apr,Q2,2017
4/29/2017,4,29,Sat,17,Apr,17-Apr,Q2,2017
4/30/2017,4,30,Sun,18,Apr,17-Apr,Q2,2017
5/1/2017,5,1,Mon,18,May,17-May,Q2,2017
5/2/2017,5,2,Tue,18,May,17-May,Q2,2017
5/3/2017,5,3,Wed,18,May,17-May,Q2,2017
5/4/2017,5,4,Thu,18,May,17-May,Q2,2017
5/5/2017,5,5,Fri,18,May,17-May,Q2,2017
5/6/2017,5,6,Sat,18,May,17-May,Q2,2017
5/7/2017,5,7,Sun,19,May,17-May,Q2,2017
5/8/2017,5,8,Mon,19,May,17-May,Q2,2017
5/9/2017,5,9,Tue,19,May,17-May,Q2,2017
5/10/2017,5,10,Wed,19,May,17-May,Q2,2017
5/11/2017,5,11,Thu,19,May,17-May,Q2,2017
5/12/2017,5,12,Fri,19,May,17-May,Q2,2017
5/13/2017,5,13,Sat,19,May,17-May,Q2,2017
5/14/2017,5,14,Sun,20,May,17-May,Q2,2017
5/15/2017,5,15,Mon,20,May,17-May,Q2,2017
5/16/2017,5,16,Tue,20,May,17-May,Q2,2017
5/17/2017,5,17,Wed,20,May,17-May,Q2,2017
5/18/2017,5,18,Thu,20,May,17-May,Q2,2017
5/19/2017,5,19,Fri,20,May,17-May,Q2,2017
5/20/2017,5,20,Sat,20,May,17-May,Q2,2017
5/21/2017,5,21,Sun,21,May,17-May,Q2,2017
5/22/2017,5,22,Mon,21,May,17-May,Q2,2017
5/23/2017,5,23,Tue,21,May,17-May,Q2,2017
5/24/2017,5,24,Wed,21,May,17-May,Q2,2017
5/25/2017,5,25,Thu,21,May,17-May,Q2,2017
5/26/2017,5,26,Fri,21,May,17-May,Q2,2017
5/27/2017,5,27,Sat,21,May,17-May,Q2,2017
5/28/2017,5,28,Sun,22,May,17-May,Q2,2017
5/29/2017,5,29,Mon,22,May,17-May,Q2,2017
5/30/2017,5,30,Tue,22,May,17-May,Q2,2017
5/31/2017,5,31,Wed,22,May,17-May,Q2,2017
6/1/2017,6,1,Thu,22,Jun,17-Jun,Q2,2017
6/2/2017,6,2,Fri,22,Jun,17-Jun,Q2,2017
6/3/2017,6,3,Sat,22,Jun,17-Jun,Q2,2017
6/4/2017,6,4,Sun,23,Jun,17-Jun,Q2,2017
6/5/2017,6,5,Mon,23,Jun,17-Jun,Q2,2017
6/6/2017,6,6,Tue,23,Jun,17-Jun,Q2,2017
6/7/2017,6,7,Wed,23,Jun,17-Jun,Q2,2017
6/8/2017,6,8,Thu,23,Jun,17-Jun,Q2,2017
6/9/2017,6,9,Fri,23,Jun,17-Jun,Q2,2017
6/10/2017,6,10,Sat,23,Jun,17-Jun,Q2,2017
6/11/2017,6,11,Sun,24,Jun,17-Jun,Q2,2017
